Round,Source,Micro,Cavity,Treatment,Replicate,Green_Pixels,Total_Pixels,Prop_Green,Notes
D,14,14a,Outhouse,Control,1,2108059,3529868,0.597206184,
D,14,14a,Outhouse,Control,2,2532642,3116862,0.81256148,
D,14,14a,Outhouse,Control,3,1810306,2834007,0.63877965,
D,14,14b,Outhouse,Control,1,1347339,2678957,0.502934164,
D,14,14b,Outhouse,Control,2,2501568,2877505,0.869353138,
D,14,14b,Outhouse,Control,3,1071321,2252160,0.475686008,
D,15,15a,Outhouse,Control,1,2035486,3151775,0.645822116,
D,15,15a,Outhouse,Control,2,2749973,3110199,0.884179115,
D,15,15a,Outhouse,Control,3,1559981,2761254,0.564953822,
D,15,15b,Outhouse,Control,1,1966155,3368680,0.583657397,
D,15,15b,Outhouse,Control,2,2351582,3432768,0.685039595,
D,15,15b,Outhouse,Control,3,1257095,2930503,0.42896902,
D,17,17a,Outhouse,Control,1,1285012,2215136,0.58010524,
D,17,17a,Outhouse,Control,2,2622575,2964760,0.884582563,
D,17,17a,Outhouse,Control,3,1882321,2468620,0.762499291,
